SAMPLE_ID,cyt,zsc
TCGA-Q3-A5QY-01,AHR,-0.7249
TCGA-FB-A4P6-01,AHR,0.5775
TCGA-US-A774-01,AHR,-0.1643
TCGA-L1-A7W4-01,AHR,0.3822
TCGA-2J-AABR-01,AHR,0.6068
TCGA-F2-A44H-01,AHR,-0.5793
TCGA-IB-AAUT-01,AHR,-0.1417
TCGA-HZ-A77O-01,AHR,-1.2296
TCGA-HZ-7924-01,AHR,0.5915
TCGA-IB-AAUS-01,AHR,-0.3914
TCGA-F2-7276-01,AHR,0.3409
TCGA-HZ-A49I-01,AHR,0.98
TCGA-2J-AABF-01,AHR,0.0781
TCGA-IB-AAUO-01,AHR,0.7001
TCGA-IB-AAUQ-01,AHR,0.1822
TCGA-XN-A8T3-01,AHR,-0.4247
TCGA-IB-AAUN-01,AHR,-0.3237
TCGA-HZ-8519-01,AHR,0.0171
TCGA-IB-7888-01,AHR,0.1594
TCGA-YB-A89D-01,AHR,0.4849
TCGA-HZ-A4BK-01,AHR,0.8405
TCGA-IB-AAUR-01,AHR,0.0444
TCGA-F2-7273-01,AHR,0.7072
TCGA-HZ-A77Q-01,AHR,0.2746
TCGA-Z5-AAPL-01,AHR,-0.7758
TCGA-IB-8126-01,AHR,-0.0697
TCGA-IB-7649-01,AHR,0.5598
TCGA-IB-7652-01,AHR,0.7976
TCGA-HZ-A4BH-01,AHR,0.3722
TCGA-3A-A9IB-01,AHR,0.391
TCGA-HZ-7920-01,AHR,0.4034
TCGA-IB-7645-01,AHR,1.0692
TCGA-HZ-8005-01,AHR,-0.3415
TCGA-2J-AABP-01,AHR,-1.3482
TCGA-IB-A7LX-01,AHR,1.3591
TCGA-HZ-8636-01,AHR,1.2916
TCGA-IB-8127-01,AHR,0.6746
TCGA-HZ-8638-01,AHR,0.7627
TCGA-HZ-8315-01,AHR,0.9019
TCGA-HZ-7926-01,AHR,1.6374
TCGA-HZ-7918-01,AHR,-0.1764
TCGA-H6-8124-01,AHR,1.2897
TCGA-FB-A7DR-01,AHR,-0.0085
TCGA-HZ-8002-01,AHR,0.7234
TCGA-IB-7891-01,AHR,0.8542
TCGA-F2-A7TX-01,AHR,-0.3832
TCGA-HZ-7919-01,AHR,1.5179
TCGA-HZ-8003-01,AHR,-0.1486
TCGA-IB-A5SS-01,AHR,-0.2149
TCGA-IB-7897-01,AHR,0.9344
TCGA-HZ-7923-01,AHR,0.7738
TCGA-IB-7886-01,AHR,0.4906
TCGA-IB-7893-01,AHR,1.7006
TCGA-IB-7651-01,AHR,-0.3226
TCGA-2J-AAB6-01,AHR,-0.6277
TCGA-IB-7646-01,AHR,0.8373
TCGA-HZ-8637-01,AHR,0.1266
TCGA-HV-A7OP-01,AIF1,-0.2099
TCGA-2L-AAQL-01,AIF1,1.2867
TCGA-2J-AABV-01,AIF1,0.6296
TCGA-HV-AA8X-01,AIF1,-1.5182
TCGA-FB-AAQ0-01,AIF1,-2.3238
TCGA-3A-A9J0-01,AIF1,-0.3735
TCGA-FB-AAQ1-01,AIF1,0.8304
TCGA-HZ-A8P1-01,AIF1,-1.1054
TCGA-3A-A9I5-01,AIF1,-0.4463
TCGA-US-A779-01,AIF1,-1.0135
TCGA-FB-AAQ6-01,AIF1,-1.2546
TCGA-HZ-A8P0-01,AIF1,-0.5044
TCGA-3A-A9IJ-01,AIF1,-0.9098
TCGA-3A-A9IR-01,AIF1,-1.6237
TCGA-LB-A8F3-01,AIF1,-0.5401
TCGA-LB-A7SX-01,AIF1,-1.3533
TCGA-3E-AAAZ-01,AIF1,-0.6895
TCGA-2L-AAQM-01,AIF1,-1.1759
TCGA-FB-AAPQ-01,AIF1,-0.9553
TCGA-US-A77G-01,AIF1,-1.4443
TCGA-2J-AABO-01,AIF1,-0.2313
TCGA-FB-AAQ3-01,AIF1,1.049
TCGA-HV-A5A6-01,AIF1,-1.4364
TCGA-2L-AAQE-01,AIF1,-1.3942
TCGA-FB-AAPU-01,AIF1,-1.5649
TCGA-3A-A9IN-01,AIF1,-0.4081
TCGA-2L-AAQJ-01,AIF1,-0.0593
TCGA-HZ-8001-01,AIF1,1.7544
TCGA-RL-AAAS-01,AIF1,1.4946
TCGA-HZ-A9TJ-01,AIF1,-0.827
TCGA-2J-AABA-01,AIF1,-1.189
TCGA-HZ-A77P-01,AIF1,0.6893
TCGA-IB-7889-01,AIF1,1.3611
TCGA-FB-A5VM-01,AIF1,1.166
TCGA-3A-A9I9-01,AIF1,0.6009
TCGA-OE-A75W-01,AIF1,0.6383
TCGA-Q3-AA2A-01,AIF1,0.173
TCGA-IB-7887-01,AIF1,-0.5734
TCGA-FB-AAPS-01,AIF1,1.084
TCGA-HV-A5A3-01,AIF1,-1.6564
TCGA-2J-AABH-01,AIF1,0.0648
TCGA-HZ-7289-01,AIF1,-3.1661
TCGA-3A-A9IS-01,AIF1,-2.1245
TCGA-IB-A7M4-01,AIF1,-0.5518
TCGA-FB-A78T-01,AIF1,0.1209
TCGA-3A-A9IV-01,AIF1,-1.2963
TCGA-3A-A9IO-01,AIF1,-1.9128
TCGA-FB-AAPZ-01,AIF1,0.384
TCGA-IB-A5ST-01,AIF1,0.7953
TCGA-H6-A45N-01,AIF1,0.3113
TCGA-2L-AAQA-01,AIF1,-1.1458
TCGA-2J-AABT-01,AIF1,0.4866
TCGA-US-A77E-01,AIF1,-1.0876
TCGA-F2-6880-01,AIF1,-1.9141
TCGA-2J-AABE-01,AIF1,0.374
TCGA-FB-AAPP-01,AIF1,-3.3565
TCGA-M8-A5N4-01,AIF1,0.2825
TCGA-RB-A7B8-01,AIF1,0.4719
TCGA-3A-A9IC-01,AIF1,0.0484
TCGA-3A-A9IZ-01,AIF1,-1.3623
TCGA-H8-A6C1-01,AIF1,0.0296
TCGA-IB-AAUV-01,AIF1,1.2292
TCGA-YY-A8LH-01,AIF1,-1.704
TCGA-FB-A545-01,AIF1,-2.8295
TCGA-2J-AAB8-01,AIF1,0.122
TCGA-2J-AABI-01,AIF1,0.0704
TCGA-F2-A44G-01,AIF1,-0.38
TCGA-F2-A8YN-01,AIF1,-0.3575
TCGA-3A-A9IU-01,AIF1,-0.9968
TCGA-US-A77J-01,AIF1,1.3195
TCGA-3A-A9IL-01,AIF1,-0.7206
TCGA-FB-AAPY-01,AIF1,1.1257
TCGA-XD-AAUG-01,AIF1,0.3939
TCGA-FB-A4P5-01,AIF1,0.8969
TCGA-XD-AAUI-01,AIF1,0.0375
TCGA-IB-A5SQ-01,AIF1,0.5191
TCGA-IB-A6UG-01,AIF1,-0.7398
TCGA-FB-AAQ2-01,AIF1,-1.2568
TCGA-HZ-8317-01,AIF1,-0.1547
TCGA-XD-AAUL-01,AIF1,0.2766
TCGA-S4-A8RM-01,AIF1,-0.8376
TCGA-XD-AAUH-01,AIF1,0.0903
TCGA-2J-AABK-01,AIF1,-0.1244
TCGA-IB-7644-01,AIF1,-0.5219
TCGA-LB-A9Q5-01,AIF1,0.8139
TCGA-S4-A8RP-01,AIF1,0.1432
TCGA-3A-A9I7-01,AIF1,-0.0155
TCGA-IB-A5SP-01,AIF1,-0.5251
TCGA-US-A776-01,AIF1,-2.7974
TCGA-S4-A8RO-01,AIF1,0.0797
TCGA-RB-AA9M-01,AIF1,-0.1469
TCGA-2J-AAB9-01,AIF1,0.4788
TCGA-3E-AAAY-01,AIF1,1.2124
TCGA-HZ-A49H-01,AIF1,0.8644
TCGA-IB-AAUU-01,AIF1,0.4548
TCGA-HV-A5A4-01,AIF1,-0.2116
TCGA-HZ-7925-01,AIF1,0.313
TCGA-F2-6879-01,AIF1,-0.7139
TCGA-3A-A9IH-01,AIF1,-0.4881
TCGA-IB-AAUW-01,AIF1,0.496
TCGA-HZ-7922-01,AIF1,-0.2235
TCGA-XN-A8T5-01,AIF1,-0.0217
TCGA-IB-7885-01,AIF1,0.8771
TCGA-IB-AAUM-01,AIF1,-0.0935
TCGA-2J-AABU-01,AIF1,-0.0728
TCGA-PZ-A5RE-01,AIF1,0.9841
TCGA-HV-A5A5-01,AIF1,0.1201
TCGA-IB-7890-01,AIF1,0.3983
TCGA-HV-A7OL-01,AIF1,1.5073
TCGA-HZ-A49G-01,AIF1,0.8308
TCGA-IB-AAUP-01,AIF1,0.5629
TCGA-IB-A6UF-01,AIF1,-0.4183
TCGA-YH-A8SY-01,AIF1,-0.2108
TCGA-3A-A9IX-01,AIF1,0.7581
TCGA-2J-AAB1-01,AIF1,0.1394
TCGA-2J-AAB4-01,AIF1,0.4285
TCGA-HV-AA8V-01,AIF1,0.161
TCGA-2L-AAQI-01,AIF1,-0.4812
TCGA-IB-A5SO-01,AIF1,0.5678
TCGA-IB-7647-01,AIF1,0.5024
TCGA-Q3-A5QY-01,AIF1,1.3725
TCGA-FB-A4P6-01,AIF1,-0.2072
